94;05.09.2018,05:19:03;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
234;05.09.2018,07:12:27;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
235;05.09.2018,07:12:28;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
236;05.09.2018,07:12:28;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
237;05.09.2018,07:12:29;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
238;05.09.2018,07:12:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
239;05.09.2018,07:12:32;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
240;05.09.2018,07:12:32;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
241;05.09.2018,07:12:33;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
242;05.09.2018,07:12:33;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
243;05.09.2018,07:12:33;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
245;05.09.2018,07:12:33;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
246;05.09.2018,07:12:34;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
247;05.09.2018,07:12:34;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
248;05.09.2018,07:12:35;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
249;05.09.2018,07:12:35;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
250;05.09.2018,07:12:36;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
251;05.09.2018,07:12:36;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
252;05.09.2018,07:12:38;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
253;05.09.2018,07:12:38;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
254;05.09.2018,07:12:44;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
255;05.09.2018,07:13:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
256;05.09.2018,07:14:10;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
257;05.09.2018,07:14:14;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
258;05.09.2018,07:14:14;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
259;05.09.2018,07:14:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
260;05.09.2018,07:15:00;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
261;05.09.2018,07:15:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
262;05.09.2018,07:15:26;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
263;05.09.2018,07:15:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
264;05.09.2018,07:15:35;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
265;05.09.2018,07:15:37;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
266;05.09.2018,07:15:37;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
267;05.09.2018,07:15:37;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
268;05.09.2018,07:15:38;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
269;05.09.2018,07:15:39;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
270;05.09.2018,07:16:14;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
271;05.09.2018,07:16:15;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
272;05.09.2018,07:16:16;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
273;05.09.2018,07:16:16;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
274;05.09.2018,07:16:16;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
275;05.09.2018,07:16:16;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
276;05.09.2018,07:16:17;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
277;05.09.2018,07:16:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
278;05.09.2018,07:16:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
279;05.09.2018,07:16:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
280;05.09.2018,07:16:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
281;05.09.2018,07:16:18;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
282;05.09.2018,07:16:19;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
283;05.09.2018,07:16:20;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
284;05.09.2018,07:16:20;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
285;05.09.2018,07:16:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
286;05.09.2018,07:16:55;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
287;05.09.2018,07:16:55;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
288;05.09.2018,07:16:55;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
289;05.09.2018,07:16:55;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
291;05.09.2018,07:16:55;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
292;05.09.2018,07:16:56;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
293;05.09.2018,07:16:56;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
294;05.09.2018,07:16:58;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
295;05.09.2018,07:16:58;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
296;05.09.2018,07:16:58;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
297;05.09.2018,07:16:58;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
298;05.09.2018,07:16:59;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
299;05.09.2018,07:16:59;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
300;05.09.2018,07:16:59;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
301;05.09.2018,07:17:11;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
302;05.09.2018,07:17:12;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
303;05.09.2018,07:17:21;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
304;05.09.2018,07:17:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
305;05.09.2018,07:17:36;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
306;05.09.2018,07:17:37;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
307;05.09.2018,07:17:42;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;1;0;
308;05.09.2018,07:18:03;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
309;05.09.2018,07:18:28;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
310;05.09.2018,07:18:31;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
311;05.09.2018,07:18:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
312;05.09.2018,07:18:33;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
313;05.09.2018,07:18:39;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
314;05.09.2018,07:18:48;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
315;05.09.2018,07:18:56;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;1;;;;;;;;;;;;;;;;;1;1;1;0;
316;05.09.2018,07:18:59;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
