Date;Sensor1;Fridge 2;Sensor3;Sensor6;Alarm1;Alarm2;Alarm3;Alarm4
31.08.2018,02:51:44;29.563;29.75;27.5;28.688;0;0;0;0
31.08.2018,02:53:45;29.563;29.75;27.5;28.688;0;0;0;0
31.08.2018,02:55:45;29.563;29.75;27.5;28.688;0;0;0;0
31.08.2018,02:57:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,02:59:45;29.563;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:01:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:03:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:05:45;29.563;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:07:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:09:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:11:45;29.5;29.75;27.5;28.688;0;0;0;0
31.08.2018,03:13:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:15:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:17:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:19:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:21:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:23:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:25:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:27:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:29:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:31:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:33:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:35:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:37:45;29.5;29.75;27.5;28.625;0;0;0;0
31.08.2018,03:39:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:41:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:43:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:45:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:47:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:49:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:51:45;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,03:53:45;29.5;29.688;27.5;28.625;0;0;0;0
